Group,Name,Basic relationship,Presetted values
rich,rich,rich,rich
Combinatorics,General combination concept,Tree diagram,
,Full enumeration,"  1 2 3 4 5 6 (Dice 1)
1 1 2 3 4 5 6
2 2 3 4 5 6 7
3 3 4 5 6 7 8
4 4 5 6 7 8 9
5 5 6 7 8 9 10
6 6 7 8 9 10 11
(Dice 2)",
,Multiplication principle/Multiplikationsprincipen,,"(1~2)(1~3)(1~2), 21*28*19"
,Addition principle/Additionsprincipen,,"(1~2)(1~3)+(1~2)(1~2)
(1)(3~6)+(2)(3~6)+(1)(2)"
,Complementary event/Komplementhändelse,,(1~5)(1~4)-(2~5)(2~4)
,Nested combinations,,(1~4)(1~4)(1~4)(1~3)-(1~4)(3)(1~4)(1)
,,,((1~4)(1 2 4)+(3)(3))((1~4)(1 2)+(3)(3))
,"Permutation (order, no repeat)",$math{P(n, k)=n!/(n-k)!},"(3~8) 3, 6 3"
,,,$math{P(4, 4)(5)}
,,,"$math{((3)+(4)+(5)+(6))P((3~8)-[1], 2)}"
,,,"$math{P(1 2 3*2 4*3, 2)=P(7, 2)/(2!3!)}"
,,,"$math{P(1*3 2*8)=C(11, 3)}, $math{P((1*11 2*1), 13)=1^11*2^1*C(13, 1)}
$math{P(1*7 2*7 3*4 4*4)=C(22, 7)*C(15, 7)*…}
$math{P((P(4, 4))P(6, 6))=...*7}, $math{P((P(1~2)) (P(3~5)) (P(6~12)))=...*P(3, 3)}"
,Cyclic permutation,,"$math{P~(6, 6)=P(6, 6)/6}"
,"Combination/Kombination (no order, no repeat",$math{C(n, k)=n!/((n-k)!k!)=P(n, k)/k!},"$math{n=6, k=3}"
,,,$math{3C(7, 3)}
,,,"$math{C(10, 2)C(10, 3)C(10, 1)}
$math{C(1~10, 2)C(11~30, 4)}"
,"Repetitions (order, repeat)",$math{x^n},"$math{x=(1~5) y=3}, 6 4, 20 3"
,"Stars and bars (no order, repeat)",,"$math{C*(7, 3)=C(9, 2)} (e.g. **|****|*, 7 stars and 2 bars (for 3 segments))"
,Nested combinations,,"$math{P(4, 4)P(9, 9)+P(9, 9)P(4, 4)}"
,,,"$math{\\S{k=1, 5, P(5, k)}}
$math{\\S{k=4, 6, C(1~6, k)C(7~12, 6-k)}}"
,,,$math{P(1~5)-(4)P(1~2)P(3~5)}
,,,"$math{C(1~5 6*2, 2)=C(1~5, 3)+C(1~5, 2)(6)+(1~5)(6)(7)}"
,,,$math{C(1~12, 3)-C(1~6, 3)}
,,,$math{C(23, 9)-(1)(2)(3)C(4~23, 6)}
,,,$math{C(1~12, 2)-C(1~2, 2)-C(3~5, 2)-C(6~7, 2)-C(8~12, 2)}
,,,"$math{P(C(1, 1)*2 C(2, 1)*2)=*C(4, 2)}
$math{P(C(10, 2) C(10, 3) C(10, 1))=*P(6, 6)}"
,Combinations with choises,"Pool section: [1, 2, 3, 4, …] -> Holding section: [1, 3, 4]",
,,$math{P(8**4 10**3)=*C(7, 4)} (2 color with reset),
,,$math{P(C(8, 4)C(10, 3))} (2 color without reset),
,Poker,"(Poker: Pool(52 kort, 4 färger, 13 valörer), hand: 5 kort, ingen ordning",
,Antal hand,$math{C(52, 5)=},
,Ett par,"$math{C(13, 1)C(4, 2)C(12, 3)C(4, 1)^3=...}",
,Tvåpar,"$math{C(13, 2)C(4, 2)*C(4, 2)*C(4, 1)*C(11, 1)=...}",
,Tretal/Triss,"$math{C(4, 3)13*4^2C(12, 2)=54912}",
,Fyrtal,"$math{C(4, 4)*13*4C(12, 1)=624}",
,Stege,$math{4^5*10=10240},
,Stege i färg,$math{4C(10, 1)=40},
,Färg,"$math{4(C(13, 5)-10)=5108}",
,Kåk,"$math{C(4, 3)C(13, 1)C(4, 2)C(12, 1)=3744}",
,1[10],"$math{4C(48, 4)=778320}",
,2[10],"$math{C(4, 2)P(48, 3)=103776}",
,Yatzy/Tärningsspel,"Pool(6 valörer 1~6), kast",
,Antal hand,"$math{6^5=} (5 tärningar, med ordning)",
,Ett par,"$math{C(6, 1)C(5, 2)P(5, 3)=3600}",
,Tvåpar,"$math{C(6, 2)C(5, 2)C(3, 2)C(4, 1)=1800}",
,Tretal,"$math{C(6, 1)C(5, 3)C(5, 1)C(4, 1)=1200}",
,Fyrtal,"$math{C(6, 1)C(5, 4)C(5, 1)=150}",
,Kåk,"$math{C(6, 1)C(5, 3)C(5, 1)=300}",
,Stege,$math{2*5!=240},
,Yatzy,$math{6},
,3[6],"$math{5*5C(5, 2)=250}",
,Permutation arithmetics,$math{n!+(n+1)!=n!+(n+1)n!=(n+2)n!},
,,$math{n!+(n-1)!=n(n-1)!+(n-1)!=(n+1)(n-1)!=(n^2-1)(n-2)!},
,,"$math{C(n, k)=n!/((n-k)!k!)=n!/((n-k)!(n-(n-k)!))=C(n, n-k)}",
,,$math{(n+1)!/((n-1)!n)=((n+1)n(n-1)!)/((n-1)!n)=n+1},
